Amount Effective from April to June 2022/Montant en vigueur en avril à juin 2022,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
0.00,23.99,968.86,"1,617.53"
24.00,47.99,967.86,"1,616.53"
48.00,71.99,966.86,"1,615.53"
72.00,95.99,965.86,"1,614.53"
96.00,119.99,964.86,"1,613.53"
120.00,143.99,963.86,"1,612.53"
144.00,167.99,962.86,"1,611.53"
168.00,191.99,961.86,"1,610.53"
192.00,215.99,960.86,"1,609.53"
216.00,239.99,959.86,"1,608.53"
240.00,263.99,958.86,"1,607.53"
264.00,287.99,957.86,"1,606.53"
288.00,311.99,956.86,"1,605.53"
312.00,335.99,955.86,"1,604.53"
336.00,359.99,954.86,"1,603.53"
360.00,383.99,953.86,"1,602.53"
384.00,407.99,952.86,"1,601.53"
408.00,431.99,951.86,"1,600.53"
432.00,455.99,950.86,"1,599.53"
456.00,479.99,949.86,"1,598.53"
480.00,503.99,948.86,"1,597.53"
504.00,527.99,947.86,"1,596.53"
528.00,551.99,946.86,"1,595.53"
552.00,575.99,945.86,"1,594.53"
576.00,599.99,944.86,"1,593.53"
600.00,623.99,943.86,"1,592.53"
624.00,647.99,942.86,"1,591.53"
648.00,671.99,941.86,"1,590.53"
672.00,695.99,940.86,"1,589.53"
696.00,719.99,939.86,"1,588.53"
720.00,743.99,938.86,"1,587.53"
744.00,767.99,937.86,"1,586.53"
768.00,791.99,936.86,"1,585.53"
792.00,815.99,935.86,"1,584.53"
816.00,839.99,934.86,"1,583.53"
840.00,863.99,933.86,"1,582.53"
864.00,887.99,932.86,"1,581.53"
888.00,911.99,931.86,"1,580.53"
912.00,935.99,930.86,"1,579.53"
936.00,959.99,929.86,"1,578.53"
960.00,983.99,928.86,"1,577.53"
984.00,"1,007.99",927.86,"1,576.53"
"1,008.00","1,031.99",926.86,"1,575.53"
"1,032.00","1,055.99",925.86,"1,574.53"
"1,056.00","1,079.99",924.86,"1,573.53"
"1,080.00","1,103.99",923.86,"1,572.53"
"1,104.00","1,127.99",922.86,"1,571.53"
"1,128.00","1,151.99",921.86,"1,570.53"
"1,152.00","1,175.99",920.86,"1,569.53"
"1,176.00","1,199.99",919.86,"1,568.53"
"1,200.00","1,223.99",918.86,"1,567.53"
"1,224.00","1,247.99",917.86,"1,566.53"
"1,248.00","1,271.99",916.86,"1,565.53"
"1,272.00","1,295.99",915.86,"1,564.53"
"1,296.00","1,319.99",914.86,"1,563.53"
"1,320.00","1,343.99",913.86,"1,562.53"
"1,344.00","1,367.99",912.86,"1,561.53"
"1,368.00","1,391.99",911.86,"1,560.53"
"1,392.00","1,415.99",910.86,"1,559.53"
"1,416.00","1,439.99",909.86,"1,558.53"
"1,440.00","1,463.99",908.86,"1,557.53"
"1,464.00","1,487.99",907.86,"1,556.53"
"1,488.00","1,511.99",906.86,"1,555.53"
"1,512.00","1,535.99",905.86,"1,554.53"
"1,536.00","1,559.99",904.86,"1,553.53"
"1,560.00","1,583.99",903.86,"1,552.53"
"1,584.00","1,607.99",902.86,"1,551.53"
"1,608.00","1,631.99",901.86,"1,550.53"
"1,632.00","1,655.99",900.86,"1,549.53"
"1,656.00","1,679.99",899.86,"1,548.53"
"1,680.00","1,703.99",898.86,"1,547.53"
"1,704.00","1,727.99",897.86,"1,546.53"
"1,728.00","1,751.99",896.86,"1,545.53"
"1,752.00","1,775.99",895.86,"1,544.53"
"1,776.00","1,799.99",894.86,"1,543.53"
"1,800.00","1,823.99",893.86,"1,542.53"
"1,824.00","1,847.99",892.86,"1,541.53"
"1,848.00","1,871.99",891.86,"1,540.53"
"1,872.00","1,895.99",890.86,"1,539.53"
"1,896.00","1,919.99",889.86,"1,538.53"
"1,920.00","1,943.99",888.86,"1,537.53"
"1,944.00","1,967.99",887.86,"1,536.53"
"1,968.00","1,991.99",886.86,"1,535.53"
"1,992.00","2,015.99",885.86,"1,534.53"
"2,016.00","2,039.99",884.86,"1,533.53"
"2,040.00","2,047.99",883.86,"1,532.53"
"2,048.00","2,063.99",882.86,"1,531.53"
"2,064.00","2,087.99",881.86,"1,530.53"
"2,088.00","2,095.99",880.86,"1,529.53"
"2,096.00","2,111.99",879.86,"1,528.53"
