Amount Effective from April to June 2022/Montant en vigueur en avril à juin 2022,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Monthly GIS with Maximum OAS Pension for each recipient ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) · ($),SRG mensuel pour montant maximal de la pension de la SV pour chaque b‚n‚ficiaire ($),Total mensuel de la pension de la SV et du SRG ($)
0.00,47.99,583.20,"1,231.87"
48.00,95.99,582.20,"1,230.87"
96.00,143.99,581.20,"1,229.87"
144.00,191.99,580.20,"1,228.87"
192.00,239.99,579.20,"1,227.87"
240.00,287.99,578.20,"1,226.87"
288.00,335.99,577.20,"1,225.87"
336.00,383.99,576.20,"1,224.87"
384.00,431.99,575.20,"1,223.87"
432.00,479.99,574.20,"1,222.87"
480.00,527.99,573.20,"1,221.87"
528.00,575.99,572.20,"1,220.87"
576.00,623.99,571.20,"1,219.87"
624.00,671.99,570.20,"1,218.87"
672.00,719.99,569.20,"1,217.87"
720.00,767.99,568.20,"1,216.87"
768.00,815.99,567.20,"1,215.87"
816.00,863.99,566.20,"1,214.87"
864.00,911.99,565.20,"1,213.87"
912.00,959.99,564.20,"1,212.87"
960.00,"1,007.99",563.20,"1,211.87"
"1,008.00","1,055.99",562.20,"1,210.87"
"1,056.00","1,103.99",561.20,"1,209.87"
"1,104.00","1,151.99",560.20,"1,208.87"
"1,152.00","1,199.99",559.20,"1,207.87"
"1,200.00","1,247.99",558.20,"1,206.87"
"1,248.00","1,295.99",557.20,"1,205.87"
"1,296.00","1,343.99",556.20,"1,204.87"
"1,344.00","1,391.99",555.20,"1,203.87"
"1,392.00","1,439.99",554.20,"1,202.87"
"1,440.00","1,487.99",553.20,"1,201.87"
"1,488.00","1,535.99",552.20,"1,200.87"
"1,536.00","1,583.99",551.20,"1,199.87"
"1,584.00","1,631.99",550.20,"1,198.87"
"1,632.00","1,679.99",549.20,"1,197.87"
"1,680.00","1,727.99",548.20,"1,196.87"
"1,728.00","1,775.99",547.20,"1,195.87"
"1,776.00","1,823.99",546.20,"1,194.87"
"1,824.00","1,871.99",545.20,"1,193.87"
"1,872.00","1,919.99",544.20,"1,192.87"
"1,920.00","1,967.99",543.20,"1,191.87"
"1,968.00","2,015.99",542.20,"1,190.87"
"2,016.00","2,063.99",541.20,"1,189.87"
"2,064.00","2,111.99",540.20,"1,188.87"
"2,112.00","2,159.99",539.20,"1,187.87"
"2,160.00","2,207.99",538.20,"1,186.87"
"2,208.00","2,255.99",537.20,"1,185.87"
"2,256.00","2,303.99",536.20,"1,184.87"
"2,304.00","2,351.99",535.20,"1,183.87"
"2,352.00","2,399.99",534.20,"1,182.87"
"2,400.00","2,447.99",533.20,"1,181.87"
"2,448.00","2,495.99",532.20,"1,180.87"
"2,496.00","2,543.99",531.20,"1,179.87"
"2,544.00","2,591.99",530.20,"1,178.87"
"2,592.00","2,639.99",529.20,"1,177.87"
"2,640.00","2,687.99",528.20,"1,176.87"
"2,688.00","2,735.99",527.20,"1,175.87"
"2,736.00","2,783.99",526.20,"1,174.87"
"2,784.00","2,831.99",525.20,"1,173.87"
"2,832.00","2,879.99",524.20,"1,172.87"
"2,880.00","2,927.99",523.20,"1,171.87"
"2,928.00","2,975.99",522.20,"1,170.87"
"2,976.00","3,023.99",521.20,"1,169.87"
"3,024.00","3,071.99",520.20,"1,168.87"
"3,072.00","3,119.99",519.20,"1,167.87"
"3,120.00","3,167.99",518.20,"1,166.87"
"3,168.00","3,215.99",517.20,"1,165.87"
"3,216.00","3,263.99",516.20,"1,164.87"
"3,264.00","3,311.99",515.20,"1,163.87"
"3,312.00","3,359.99",514.20,"1,162.87"
"3,360.00","3,407.99",513.20,"1,161.87"
"3,408.00","3,455.99",512.20,"1,160.87"
"3,456.00","3,503.99",511.20,"1,159.87"
"3,504.00","3,551.99",510.20,"1,158.87"
"3,552.00","3,599.99",509.20,"1,157.87"
"3,600.00","3,647.99",508.20,"1,156.87"
"3,648.00","3,695.99",507.20,"1,155.87"
"3,696.00","3,743.99",506.20,"1,154.87"
"3,744.00","3,791.99",505.20,"1,153.87"
"3,792.00","3,839.99",504.20,"1,152.87"
"3,840.00","3,887.99",503.20,"1,151.87"
"3,888.00","3,935.99",502.20,"1,150.87"
"3,936.00","3,983.99",501.20,"1,149.87"
"3,984.00","4,031.99",500.20,"1,148.87"
"4,032.00","4,079.99",499.20,"1,147.87"
"4,080.00","4,095.99",498.20,"1,146.87"
"4,096.00","4,127.99",497.20,"1,145.87"
"4,128.00","4,175.99",496.20,"1,144.87"
"4,176.00","4,191.99",495.20,"1,143.87"
"4,192.00","4,223.99",494.20,"1,142.87"
"4,224.00","4,271.99",493.20,"1,141.87"
"4,272.00","4,287.99",492.20,"1,140.87"
"4,288.00","4,319.99",491.20,"1,139.87"
"4,320.00","4,367.99",490.20,"1,138.87"
"4,368.00","4,383.99",489.20,"1,137.87"
"4,384.00","4,415.99",488.20,"1,136.87"
"4,416.00","4,463.99",487.20,"1,135.87"
"4,464.00","4,479.99",486.20,"1,134.87"
"4,480.00","4,511.99",485.20,"1,133.87"
"4,512.00","4,559.99",484.20,"1,132.87"
"4,560.00","4,575.99",483.20,"1,131.87"
"4,576.00","4,607.99",482.20,"1,130.87"
