Amount Effective from April to June 2022/Montant en vigueur en avril à juin 2022,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
0.00,"4,095.99",968.86,"1,617.53"
"4,096.00","4,191.99",967.86,"1,616.53"
"4,192.00","4,287.99",966.86,"1,615.53"
"4,288.00","4,383.99",965.86,"1,614.53"
"4,384.00","4,479.99",964.86,"1,613.53"
"4,480.00","4,575.99",963.86,"1,612.53"
"4,576.00","4,671.99",962.86,"1,611.53"
"4,672.00","4,767.99",961.86,"1,610.53"
"4,768.00","4,863.99",960.86,"1,609.53"
"4,864.00","4,959.99",959.86,"1,608.53"
"4,960.00","5,055.99",958.86,"1,607.53"
"5,056.00","5,151.99",957.86,"1,606.53"
"5,152.00","5,247.99",956.86,"1,605.53"
"5,248.00","5,343.99",955.86,"1,604.53"
"5,344.00","5,439.99",954.86,"1,603.53"
"5,440.00","5,535.99",953.86,"1,602.53"
"5,536.00","5,631.99",952.86,"1,601.53"
"5,632.00","5,727.99",951.86,"1,600.53"
"5,728.00","5,823.99",950.86,"1,599.53"
"5,824.00","5,919.99",949.86,"1,598.53"
"5,920.00","6,015.99",948.86,"1,597.53"
"6,016.00","6,111.99",947.86,"1,596.53"
"6,112.00","6,207.99",946.86,"1,595.53"
"6,208.00","6,303.99",945.86,"1,594.53"
"6,304.00","6,399.99",944.86,"1,593.53"
"6,400.00","6,495.99",943.86,"1,592.53"
"6,496.00","6,591.99",942.86,"1,591.53"
"6,592.00","6,687.99",941.86,"1,590.53"
"6,688.00","6,783.99",940.86,"1,589.53"
"6,784.00","6,879.99",939.86,"1,588.53"
"6,880.00","6,975.99",938.86,"1,587.53"
"6,976.00","7,071.99",937.86,"1,586.53"
"7,072.00","7,167.99",936.86,"1,585.53"
"7,168.00","7,263.99",935.86,"1,584.53"
"7,264.00","7,359.99",934.86,"1,583.53"
"7,360.00","7,455.99",933.86,"1,582.53"
"7,456.00","7,551.99",932.86,"1,581.53"
"7,552.00","7,647.99",931.86,"1,580.53"
"7,648.00","7,743.99",930.86,"1,579.53"
"7,744.00","7,839.99",929.86,"1,578.53"
"7,840.00","7,871.99",928.86,"1,577.53"
"7,872.00","7,919.99",927.86,"1,576.53"
"7,920.00","7,935.99",926.86,"1,575.53"
"7,936.00","7,967.99",925.86,"1,574.53"
"7,968.00","8,015.99",924.86,"1,573.53"
"8,016.00","8,031.99",923.86,"1,572.53"
"8,032.00","8,063.99",922.86,"1,571.53"
"8,064.00","8,111.99",921.86,"1,570.53"
"8,112.00","8,127.99",920.86,"1,569.53"
"8,128.00","8,159.99",919.86,"1,568.53"
"8,160.00","8,207.99",918.86,"1,567.53"
"8,208.00","8,223.99",917.86,"1,566.53"
"8,224.00","8,255.99",916.86,"1,565.53"
"8,256.00","8,303.99",915.86,"1,564.53"
"8,304.00","8,319.99",914.86,"1,563.53"
"8,320.00","8,351.99",913.86,"1,562.53"
"8,352.00","8,399.99",912.86,"1,561.53"
"8,400.00","8,415.99",911.86,"1,560.53"
"8,416.00","8,447.99",910.86,"1,559.53"
"8,448.00","8,495.99",909.86,"1,558.53"
"8,496.00","8,511.99",908.86,"1,557.53"
"8,512.00","8,543.99",907.86,"1,556.53"
"8,544.00","8,591.99",906.86,"1,555.53"
"8,592.00","8,607.99",905.86,"1,554.53"
"8,608.00","8,639.99",904.86,"1,553.53"
"8,640.00","8,687.99",903.86,"1,552.53"
"8,688.00","8,703.99",902.86,"1,551.53"
"8,704.00","8,735.99",901.86,"1,550.53"
"8,736.00","8,783.99",900.86,"1,549.53"
"8,784.00","8,799.99",899.86,"1,548.53"
"8,800.00","8,831.99",898.86,"1,547.53"
"8,832.00","8,879.99",897.86,"1,546.53"
"8,880.00","8,895.99",896.86,"1,545.53"
"8,896.00","8,927.99",895.86,"1,544.53"
"8,928.00","8,975.99",894.86,"1,543.53"
"8,976.00","8,991.99",893.86,"1,542.53"
"8,992.00","9,023.99",892.86,"1,541.53"
"9,024.00","9,071.99",891.86,"1,540.53"
"9,072.00","9,087.99",890.86,"1,539.53"
"9,088.00","9,119.99",889.86,"1,538.53"
"9,120.00","9,167.99",888.86,"1,537.53"
"9,168.00","9,183.99",887.86,"1,536.53"
"9,184.00","9,215.99",886.86,"1,535.53"
