Amount Effective from April to June 2019/Montant en vigueur en avril à juin  2019,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) À,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
0.00,23.99,898.32,"1,499.77"
24.00,47.99,897.32,"1,498.77"
48.00,71.99,896.32,"1,497.77"
72.00,95.99,895.32,"1,496.77"
96.00,119.99,894.32,"1,495.77"
120.00,143.99,893.32,"1,494.77"
144.00,167.99,892.32,"1,493.77"
168.00,191.99,891.32,"1,492.77"
192.00,215.99,890.32,"1,491.77"
216.00,239.99,889.32,"1,490.77"
240.00,263.99,888.32,"1,489.77"
264.00,287.99,887.32,"1,488.77"
288.00,311.99,886.32,"1,487.77"
312.00,335.99,885.32,"1,486.77"
336.00,359.99,884.32,"1,485.77"
360.00,383.99,883.32,"1,484.77"
384.00,407.99,882.32,"1,483.77"
408.00,431.99,881.32,"1,482.77"
432.00,455.99,880.32,"1,481.77"
456.00,479.99,879.32,"1,480.77"
480.00,503.99,878.32,"1,479.77"
504.00,527.99,877.32,"1,478.77"
528.00,551.99,876.32,"1,477.77"
552.00,575.99,875.32,"1,476.77"
576.00,599.99,874.32,"1,475.77"
600.00,623.99,873.32,"1,474.77"
624.00,647.99,872.32,"1,473.77"
648.00,671.99,871.32,"1,472.77"
672.00,695.99,870.32,"1,471.77"
696.00,719.99,869.32,"1,470.77"
720.00,743.99,868.32,"1,469.77"
744.00,767.99,867.32,"1,468.77"
768.00,791.99,866.32,"1,467.77"
792.00,815.99,865.32,"1,466.77"
816.00,839.99,864.32,"1,465.77"
840.00,863.99,863.32,"1,464.77"
864.00,887.99,862.32,"1,463.77"
888.00,911.99,861.32,"1,462.77"
912.00,935.99,860.32,"1,461.77"
936.00,959.99,859.32,"1,460.77"
960.00,983.99,858.32,"1,459.77"
984.00,"1,007.99",857.32,"1,458.77"
"1,008.00","1,031.99",856.32,"1,457.77"
"1,032.00","1,055.99",855.32,"1,456.77"
"1,056.00","1,079.99",854.32,"1,455.77"
"1,080.00","1,103.99",853.32,"1,454.77"
"1,104.00","1,127.99",852.32,"1,453.77"
"1,128.00","1,151.99",851.32,"1,452.77"
"1,152.00","1,175.99",850.32,"1,451.77"
"1,176.00","1,199.99",849.32,"1,450.77"
"1,200.00","1,223.99",848.32,"1,449.77"
"1,224.00","1,247.99",847.32,"1,448.77"
"1,248.00","1,271.99",846.32,"1,447.77"
"1,272.00","1,295.99",845.32,"1,446.77"
"1,296.00","1,319.99",844.32,"1,445.77"
"1,320.00","1,343.99",843.32,"1,444.77"
"1,344.00","1,367.99",842.32,"1,443.77"
"1,368.00","1,391.99",841.32,"1,442.77"
"1,392.00","1,415.99",840.32,"1,441.77"
"1,416.00","1,439.99",839.32,"1,440.77"
"1,440.00","1,463.99",838.32,"1,439.77"
"1,464.00","1,487.99",837.32,"1,438.77"
"1,488.00","1,511.99",836.32,"1,437.77"
"1,512.00","1,535.99",835.32,"1,436.77"
"1,536.00","1,559.99",834.32,"1,435.77"
"1,560.00","1,583.99",833.32,"1,434.77"
"1,584.00","1,607.99",832.32,"1,433.77"
"1,608.00","1,631.99",831.32,"1,432.77"
"1,632.00","1,655.99",830.32,"1,431.77"
"1,656.00","1,679.99",829.32,"1,430.77"
"1,680.00","1,703.99",828.32,"1,429.77"
"1,704.00","1,727.99",827.32,"1,428.77"
"1,728.00","1,751.99",826.32,"1,427.77"
"1,752.00","1,775.99",825.32,"1,426.77"
"1,776.00","1,799.99",824.32,"1,425.77"
"1,800.00","1,823.99",823.32,"1,424.77"
"1,824.00","1,847.99",822.32,"1,423.77"
"1,848.00","1,871.99",821.32,"1,422.77"
"1,872.00","1,895.99",820.32,"1,421.77"
"1,896.00","1,919.99",819.32,"1,420.77"
"1,920.00","1,943.99",818.32,"1,419.77"
"1,944.00","1,967.99",817.32,"1,418.77"
"1,968.00","1,991.99",816.32,"1,417.77"
"1,992.00","2,015.99",815.32,"1,416.77"
"2,016.00","2,039.99",814.32,"1,415.77"
"2,040.00","2,047.99",813.32,"1,414.77"
"2,048.00","2,063.99",812.32,"1,413.77"
"2,064.00","2,087.99",811.32,"1,412.77"
"2,088.00","2,095.99",810.32,"1,411.77"
"2,096.00","2,111.99",809.32,"1,410.77"
"2,112.00","2,135.99",808.32,"1,409.77"
"2,136.00","2,143.99",807.32,"1,408.77"
"2,144.00","2,159.99",806.32,"1,407.77"
"2,160.00","2,183.99",805.32,"1,406.77"
"2,184.00","2,191.99",804.32,"1,405.77"
"2,192.00","2,207.99",803.32,"1,404.77"
"2,208.00","2,231.99",802.32,"1,403.77"
"2,232.00","2,239.99",801.32,"1,402.77"
"2,240.00","2,255.99",800.32,"1,401.77"
"2,256.00","2,279.99",799.32,"1,400.77"
"2,280.00","2,287.99",798.32,"1,399.77"
"2,288.00","2,303.99",797.32,"1,398.77"
"2,304.00","2,327.99",796.32,"1,397.77"
"2,328.00","2,335.99",795.32,"1,396.77"
"2,336.00","2,351.99",794.32,"1,395.77"
"2,352.00","2,375.99",793.32,"1,394.77"
"2,376.00","2,383.99",792.32,"1,393.77"
"2,384.00","2,399.99",791.32,"1,392.77"
"2,400.00","2,423.99",790.32,"1,391.77"
"2,424.00","2,431.99",789.32,"1,390.77"
"2,432.00","2,447.99",788.32,"1,389.77"
"2,448.00","2,471.99",787.32,"1,388.77"
"2,472.00","2,479.99",786.32,"1,387.77"
"2,480.00","2,495.99",785.32,"1,386.77"
"2,496.00","2,519.99",784.32,"1,385.77"
"2,520.00","2,527.99",783.32,"1,384.77"
"2,528.00","2,543.99",782.32,"1,383.77"
"2,544.00","2,567.99",781.32,"1,382.77"
"2,568.00","2,575.99",780.32,"1,381.77"
"2,576.00","2,591.99",779.32,"1,380.77"
"2,592.00","2,615.99",778.32,"1,379.77"
"2,616.00","2,623.99",777.32,"1,378.77"
"2,624.00","2,639.99",776.32,"1,377.77"
"2,640.00","2,663.99",775.32,"1,376.77"
"2,664.00","2,671.99",774.32,"1,375.77"
"2,672.00","2,687.99",773.32,"1,374.77"
"2,688.00","2,711.99",772.32,"1,373.77"
"2,712.00","2,719.99",771.32,"1,372.77"
"2,720.00","2,735.99",770.32,"1,371.77"
"2,736.00","2,759.99",769.32,"1,370.77"
"2,760.00","2,767.99",768.32,"1,369.77"
"2,768.00","2,783.99",767.32,"1,368.77"
"2,784.00","2,807.99",766.32,"1,367.77"
"2,808.00","2,815.99",765.32,"1,366.77"
"2,816.00","2,831.99",764.32,"1,365.77"
"2,832.00","2,855.99",763.32,"1,364.77"
"2,856.00","2,863.99",762.32,"1,363.77"
"2,864.00","2,879.99",761.32,"1,362.77"
"2,880.00","2,903.99",760.32,"1,361.77"
"2,904.00","2,911.99",759.32,"1,360.77"
"2,912.00","2,927.99",758.32,"1,359.77"
"2,928.00","2,951.99",757.32,"1,358.77"
"2,952.00","2,959.99",756.32,"1,357.77"
"2,960.00","2,975.99",755.32,"1,356.77"
"2,976.00","2,999.99",754.32,"1,355.77"
"3,000.00","3,007.99",753.32,"1,354.77"
"3,008.00","3,023.99",752.32,"1,353.77"
"3,024.00","3,047.99",751.32,"1,352.77"
"3,048.00","3,055.99",750.32,"1,351.77"
"3,056.00","3,071.99",749.32,"1,350.77"
"3,072.00","3,095.99",748.32,"1,349.77"
"3,096.00","3,103.99",747.32,"1,348.77"
"3,104.00","3,119.99",746.32,"1,347.77"
"3,120.00","3,143.99",745.32,"1,346.77"
"3,144.00","3,151.99",744.32,"1,345.77"
"3,152.00","3,167.99",743.32,"1,344.77"
"3,168.00","3,191.99",742.32,"1,343.77"
"3,192.00","3,199.99",741.32,"1,342.77"
"3,200.00","3,215.99",740.32,"1,341.77"
"3,216.00","3,239.99",739.32,"1,340.77"
"3,240.00","3,247.99",738.32,"1,339.77"
"3,248.00","3,263.99",737.32,"1,338.77"
"3,264.00","3,287.99",736.32,"1,337.77"
"3,288.00","3,295.99",735.32,"1,336.77"
"3,296.00","3,311.99",734.32,"1,335.77"
"3,312.00","3,335.99",733.32,"1,334.77"
"3,336.00","3,343.99",732.32,"1,333.77"
"3,344.00","3,359.99",731.32,"1,332.77"
"3,360.00","3,383.99",730.32,"1,331.77"
"3,384.00","3,391.99",729.32,"1,330.77"
"3,392.00","3,407.99",728.32,"1,329.77"
"3,408.00","3,431.99",727.32,"1,328.77"
"3,432.00","3,439.99",726.32,"1,327.77"
"3,440.00","3,455.99",725.32,"1,326.77"
"3,456.00","3,479.99",724.32,"1,325.77"
"3,480.00","3,487.99",723.32,"1,324.77"
"3,488.00","3,503.99",722.32,"1,323.77"
"3,504.00","3,527.99",721.32,"1,322.77"
"3,528.00","3,535.99",720.32,"1,321.77"
"3,536.00","3,551.99",719.32,"1,320.77"
"3,552.00","3,575.99",718.32,"1,319.77"
"3,576.00","3,583.99",717.32,"1,318.77"
"3,584.00","3,599.99",716.32,"1,317.77"
"3,600.00","3,623.99",715.32,"1,316.77"
"3,624.00","3,631.99",714.32,"1,315.77"
"3,632.00","3,647.99",713.32,"1,314.77"
"3,648.00","3,671.99",712.32,"1,313.77"
"3,672.00","3,679.99",711.32,"1,312.77"
"3,680.00","3,695.99",710.32,"1,311.77"
"3,696.00","3,719.99",709.32,"1,310.77"
"3,720.00","3,727.99",708.32,"1,309.77"
"3,728.00","3,743.99",707.32,"1,308.77"
"3,744.00","3,767.99",706.32,"1,307.77"
"3,768.00","3,775.99",705.32,"1,306.77"
"3,776.00","3,791.99",704.32,"1,305.77"
"3,792.00","3,815.99",703.32,"1,304.77"
"3,816.00","3,823.99",702.32,"1,303.77"
"3,824.00","3,839.99",701.32,"1,302.77"
"3,840.00","3,863.99",700.32,"1,301.77"
"3,864.00","3,871.99",699.32,"1,300.77"
"3,872.00","3,887.99",698.32,"1,299.77"
"3,888.00","3,911.99",697.32,"1,298.77"
"3,912.00","3,919.99",696.32,"1,297.77"
"3,920.00","3,935.99",695.32,"1,296.77"
"3,936.00","3,959.99",694.32,"1,295.77"
"3,960.00","3,967.99",693.32,"1,294.77"
"3,968.00","3,983.99",692.32,"1,293.77"
"3,984.00","4,007.99",691.32,"1,292.77"
"4,008.00","4,015.99",690.32,"1,291.77"
"4,016.00","4,031.99",689.32,"1,290.77"
"4,032.00","4,055.99",688.32,"1,289.77"
"4,056.00","4,063.99",687.32,"1,288.77"
"4,064.00","4,079.99",686.32,"1,287.77"
"4,080.00","4,103.99",685.32,"1,286.77"
"4,104.00","4,111.99",684.32,"1,285.77"
"4,112.00","4,127.99",683.32,"1,284.77"
"4,128.00","4,151.99",682.32,"1,283.77"
"4,152.00","4,159.99",681.32,"1,282.77"
"4,160.00","4,175.99",680.32,"1,281.77"
"4,176.00","4,199.99",679.32,"1,280.77"
"4,200.00","4,207.99",678.32,"1,279.77"
"4,208.00","4,223.99",677.32,"1,278.77"
"4,224.00","4,247.99",676.32,"1,277.77"
"4,248.00","4,255.99",675.32,"1,276.77"
"4,256.00","4,271.99",674.32,"1,275.77"
"4,272.00","4,295.99",673.32,"1,274.77"
"4,296.00","4,303.99",672.32,"1,273.77"
"4,304.00","4,319.99",671.32,"1,272.77"
"4,320.00","4,343.99",670.32,"1,271.77"
"4,344.00","4,351.99",669.32,"1,270.77"
"4,352.00","4,367.99",668.32,"1,269.77"
"4,368.00","4,391.99",667.32,"1,268.77"
"4,392.00","4,399.99",666.32,"1,267.77"
"4,400.00","4,415.99",665.32,"1,266.77"
"4,416.00","4,439.99",664.32,"1,265.77"
"4,440.00","4,447.99",663.32,"1,264.77"
"4,448.00","4,463.99",662.32,"1,263.77"
"4,464.00","4,487.99",661.32,"1,262.77"
"4,488.00","4,495.99",660.32,"1,261.77"
"4,496.00","4,511.99",659.32,"1,260.77"
