Amount Effective from July to September 2019/Montant en vigueur en juillet à septembre 2019,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
0,"4,095.99",907.3,"1,514.76"
"4,096.00","4,191.99",906.3,"1,513.76"
"4,192.00","4,287.99",905.3,"1,512.76"
"4,288.00","4,383.99",904.3,"1,511.76"
"4,384.00","4,479.99",903.3,"1,510.76"
"4,480.00","4,575.99",902.3,"1,509.76"
"4,576.00","4,671.99",901.3,"1,508.76"
"4,672.00","4,767.99",900.3,"1,507.76"
"4,768.00","4,863.99",899.3,"1,506.76"
"4,864.00","4,959.99",898.3,"1,505.76"
"4,960.00","5,055.99",897.3,"1,504.76"
"5,056.00","5,151.99",896.3,"1,503.76"
"5,152.00","5,247.99",895.3,"1,502.76"
"5,248.00","5,343.99",894.3,"1,501.76"
"5,344.00","5,439.99",893.3,"1,500.76"
"5,440.00","5,535.99",892.3,"1,499.76"
"5,536.00","5,631.99",891.3,"1,498.76"
"5,632.00","5,727.99",890.3,"1,497.76"
"5,728.00","5,823.99",889.3,"1,496.76"
"5,824.00","5,919.99",888.3,"1,495.76"
"5,920.00","6,015.99",887.3,"1,494.76"
"6,016.00","6,111.99",886.3,"1,493.76"
"6,112.00","6,207.99",885.3,"1,492.76"
"6,208.00","6,303.99",884.3,"1,491.76"
"6,304.00","6,399.99",883.3,"1,490.76"
"6,400.00","6,495.99",882.3,"1,489.76"
"6,496.00","6,591.99",881.3,"1,488.76"
"6,592.00","6,687.99",880.3,"1,487.76"
"6,688.00","6,783.99",879.3,"1,486.76"
"6,784.00","6,879.99",878.3,"1,485.76"
"6,880.00","6,975.99",877.3,"1,484.76"
"6,976.00","7,071.99",876.3,"1,483.76"
"7,072.00","7,167.99",875.3,"1,482.76"
