Amount Effective from January to March 2020/Montant en vigueur en janvier à mars 2020,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
0,23.99,916.38,"1,529.91"
24,47.99,915.38,"1,528.91"
48,71.99,914.38,"1,527.91"
72,95.99,913.38,"1,526.91"
96,119.99,912.38,"1,525.91"
120,143.99,911.38,"1,524.91"
144,167.99,910.38,"1,523.91"
168,191.99,909.38,"1,522.91"
192,215.99,908.38,"1,521.91"
216,239.99,907.38,"1,520.91"
240,263.99,906.38,"1,519.91"
264,287.99,905.38,"1,518.91"
288,311.99,904.38,"1,517.91"
312,335.99,903.38,"1,516.91"
336,359.99,902.38,"1,515.91"
360,383.99,901.38,"1,514.91"
384,407.99,900.38,"1,513.91"
408,431.99,899.38,"1,512.91"
432,455.99,898.38,"1,511.91"
456,479.99,897.38,"1,510.91"
480,503.99,896.38,"1,509.91"
504,527.99,895.38,"1,508.91"
528,551.99,894.38,"1,507.91"
552,575.99,893.38,"1,506.91"
576,599.99,892.38,"1,505.91"
600,623.99,891.38,"1,504.91"
624,647.99,890.38,"1,503.91"
648,671.99,889.38,"1,502.91"
672,695.99,888.38,"1,501.91"
696,719.99,887.38,"1,500.91"
720,743.99,886.38,"1,499.91"
744,767.99,885.38,"1,498.91"
768,791.99,884.38,"1,497.91"
792,815.99,883.38,"1,496.91"
816,839.99,882.38,"1,495.91"
840,863.99,881.38,"1,494.91"
864,887.99,880.38,"1,493.91"
888,911.99,879.38,"1,492.91"
912,935.99,878.38,"1,491.91"
936,959.99,877.38,"1,490.91"
960,983.99,876.38,"1,489.91"
984,"1,007.99",875.38,"1,488.91"
"1,008.00","1,031.99",874.38,"1,487.91"
"1,032.00","1,055.99",873.38,"1,486.91"
"1,056.00","1,079.99",872.38,"1,485.91"
"1,080.00","1,103.99",871.38,"1,484.91"
"1,104.00","1,127.99",870.38,"1,483.91"
"1,128.00","1,151.99",869.38,"1,482.91"
"1,152.00","1,175.99",868.38,"1,481.91"
"1,176.00","1,199.99",867.38,"1,480.91"
"1,200.00","1,223.99",866.38,"1,479.91"
"1,224.00","1,247.99",865.38,"1,478.91"
"1,248.00","1,271.99",864.38,"1,477.91"
"1,272.00","1,295.99",863.38,"1,476.91"
"1,296.00","1,319.99",862.38,"1,475.91"
"1,320.00","1,343.99",861.38,"1,474.91"
"1,344.00","1,367.99",860.38,"1,473.91"
"1,368.00","1,391.99",859.38,"1,472.91"
"1,392.00","1,415.99",858.38,"1,471.91"
"1,416.00","1,439.99",857.38,"1,470.91"
"1,440.00","1,463.99",856.38,"1,469.91"
"1,464.00","1,487.99",855.38,"1,468.91"
"1,488.00","1,511.99",854.38,"1,467.91"
"1,512.00","1,535.99",853.38,"1,466.91"
"1,536.00","1,559.99",852.38,"1,465.91"
"1,560.00","1,583.99",851.38,"1,464.91"
"1,584.00","1,607.99",850.38,"1,463.91"
"1,608.00","1,631.99",849.38,"1,462.91"
"1,632.00","1,655.99",848.38,"1,461.91"
"1,656.00","1,679.99",847.38,"1,460.91"
"1,680.00","1,703.99",846.38,"1,459.91"
"1,704.00","1,727.99",845.38,"1,458.91"
"1,728.00","1,751.99",844.38,"1,457.91"
"1,752.00","1,775.99",843.38,"1,456.91"
"1,776.00","1,799.99",842.38,"1,455.91"
"1,800.00","1,823.99",841.38,"1,454.91"
"1,824.00","1,847.99",840.38,"1,453.91"
"1,848.00","1,871.99",839.38,"1,452.91"
"1,872.00","1,895.99",838.38,"1,451.91"
"1,896.00","1,919.99",837.38,"1,450.91"
"1,920.00","1,943.99",836.38,"1,449.91"
"1,944.00","1,967.99",835.38,"1,448.91"
"1,968.00","1,991.99",834.38,"1,447.91"
"1,992.00","2,015.99",833.38,"1,446.91"
"2,016.00","2,039.99",832.38,"1,445.91"
"2,040.00","2,047.99",831.38,"1,444.91"
"2,048.00","2,063.99",830.38,"1,443.91"
"2,064.00","2,087.99",829.38,"1,442.91"
"2,088.00","2,095.99",828.38,"1,441.91"
"2,096.00","2,111.99",827.38,"1,440.91"
"2,112.00","2,135.99",826.38,"1,439.91"
"2,136.00","2,143.99",825.38,"1,438.91"
"2,144.00","2,159.99",824.38,"1,437.91"
"2,160.00","2,183.99",823.38,"1,436.91"
"2,184.00","2,191.99",822.38,"1,435.91"
"2,192.00","2,207.99",821.38,"1,434.91"
"2,208.00","2,231.99",820.38,"1,433.91"
"2,232.00","2,239.99",819.38,"1,432.91"
"2,240.00","2,255.99",818.38,"1,431.91"
"2,256.00","2,279.99",817.38,"1,430.91"
"2,280.00","2,287.99",816.38,"1,429.91"
"2,288.00","2,303.99",815.38,"1,428.91"
"2,304.00","2,327.99",814.38,"1,427.91"
"2,328.00","2,335.99",813.38,"1,426.91"
"2,336.00","2,351.99",812.38,"1,425.91"
"2,352.00","2,375.99",811.38,"1,424.91"
"2,376.00","2,383.99",810.38,"1,423.91"
"2,384.00","2,399.99",809.38,"1,422.91"
"2,400.00","2,423.99",808.38,"1,421.91"
"2,424.00","2,431.99",807.38,"1,420.91"
"2,432.00","2,447.99",806.38,"1,419.91"
"2,448.00","2,471.99",805.38,"1,418.91"
"2,472.00","2,479.99",804.38,"1,417.91"
"2,480.00","2,495.99",803.38,"1,416.91"
"2,496.00","2,519.99",802.38,"1,415.91"
"2,520.00","2,527.99",801.38,"1,414.91"
"2,528.00","2,543.99",800.38,"1,413.91"
"2,544.00","2,567.99",799.38,"1,412.91"
"2,568.00","2,575.99",798.38,"1,411.91"
"2,576.00","2,591.99",797.38,"1,410.91"
"2,592.00","2,615.99",796.38,"1,409.91"
"2,616.00","2,623.99",795.38,"1,408.91"
"2,624.00","2,639.99",794.38,"1,407.91"
"2,640.00","2,663.99",793.38,"1,406.91"
"2,664.00","2,671.99",792.38,"1,405.91"
"2,672.00","2,687.99",791.38,"1,404.91"
"2,688.00","2,711.99",790.38,"1,403.91"
"2,712.00","2,719.99",789.38,"1,402.91"
"2,720.00","2,735.99",788.38,"1,401.91"
"2,736.00","2,759.99",787.38,"1,400.91"
"2,760.00","2,767.99",786.38,"1,399.91"
"2,768.00","2,783.99",785.38,"1,398.91"
"2,784.00","2,807.99",784.38,"1,397.91"
"2,808.00","2,815.99",783.38,"1,396.91"
"2,816.00","2,831.99",782.38,"1,395.91"
"2,832.00","2,855.99",781.38,"1,394.91"
"2,856.00","2,863.99",780.38,"1,393.91"
"2,864.00","2,879.99",779.38,"1,392.91"
"2,880.00","2,903.99",778.38,"1,391.91"
"2,904.00","2,911.99",777.38,"1,390.91"
"2,912.00","2,927.99",776.38,"1,389.91"
"2,928.00","2,951.99",775.38,"1,388.91"
"2,952.00","2,959.99",774.38,"1,387.91"
"2,960.00","2,975.99",773.38,"1,386.91"
"2,976.00","2,999.99",772.38,"1,385.91"
"3,000.00","3,007.99",771.38,"1,384.91"
"3,008.00","3,023.99",770.38,"1,383.91"
"3,024.00","3,047.99",769.38,"1,382.91"
"3,048.00","3,055.99",768.38,"1,381.91"
"3,056.00","3,071.99",767.38,"1,380.91"
"3,072.00","3,095.99",766.38,"1,379.91"
"3,096.00","3,103.99",765.38,"1,378.91"
"3,104.00","3,119.99",764.38,"1,377.91"
"3,120.00","3,143.99",763.38,"1,376.91"
"3,144.00","3,151.99",762.38,"1,375.91"
"3,152.00","3,167.99",761.38,"1,374.91"
"3,168.00","3,191.99",760.38,"1,373.91"
"3,192.00","3,199.99",759.38,"1,372.91"
"3,200.00","3,215.99",758.38,"1,371.91"
"3,216.00","3,239.99",757.38,"1,370.91"
"3,240.00","3,247.99",756.38,"1,369.91"
"3,248.00","3,263.99",755.38,"1,368.91"
"3,264.00","3,287.99",754.38,"1,367.91"
"3,288.00","3,295.99",753.38,"1,366.91"
"3,296.00","3,311.99",752.38,"1,365.91"
"3,312.00","3,335.99",751.38,"1,364.91"
"3,336.00","3,343.99",750.38,"1,363.91"
"3,344.00","3,359.99",749.38,"1,362.91"
"3,360.00","3,383.99",748.38,"1,361.91"
"3,384.00","3,391.99",747.38,"1,360.91"
"3,392.00","3,407.99",746.38,"1,359.91"
"3,408.00","3,431.99",745.38,"1,358.91"
"3,432.00","3,439.99",744.38,"1,357.91"
"3,440.00","3,455.99",743.38,"1,356.91"
"3,456.00","3,479.99",742.38,"1,355.91"
"3,480.00","3,487.99",741.38,"1,354.91"
"3,488.00","3,503.99",740.38,"1,353.91"
"3,504.00","3,527.99",739.38,"1,352.91"
"3,528.00","3,535.99",738.38,"1,351.91"
"3,536.00","3,551.99",737.38,"1,350.91"
"3,552.00","3,575.99",736.38,"1,349.91"
"3,576.00","3,583.99",735.38,"1,348.91"
"3,584.00","3,599.99",734.38,"1,347.91"
"3,600.00","3,623.99",733.38,"1,346.91"
"3,624.00","3,631.99",732.38,"1,345.91"
"3,632.00","3,647.99",731.38,"1,344.91"
"3,648.00","3,671.99",730.38,"1,343.91"
"3,672.00","3,679.99",729.38,"1,342.91"
"3,680.00","3,695.99",728.38,"1,341.91"
"3,696.00","3,719.99",727.38,"1,340.91"
"3,720.00","3,727.99",726.38,"1,339.91"
"3,728.00","3,743.99",725.38,"1,338.91"
"3,744.00","3,767.99",724.38,"1,337.91"
"3,768.00","3,775.99",723.38,"1,336.91"
"3,776.00","3,791.99",722.38,"1,335.91"
"3,792.00","3,815.99",721.38,"1,334.91"
"3,816.00","3,823.99",720.38,"1,333.91"
"3,824.00","3,839.99",719.38,"1,332.91"
"3,840.00","3,863.99",718.38,"1,331.91"
"3,864.00","3,871.99",717.38,"1,330.91"
"3,872.00","3,887.99",716.38,"1,329.91"
"3,888.00","3,911.99",715.38,"1,328.91"
"3,912.00","3,919.99",714.38,"1,327.91"
"3,920.00","3,935.99",713.38,"1,326.91"
"3,936.00","3,959.99",712.38,"1,325.91"
"3,960.00","3,967.99",711.38,"1,324.91"
"3,968.00","3,983.99",710.38,"1,323.91"
"3,984.00","4,007.99",709.38,"1,322.91"
"4,008.00","4,015.99",708.38,"1,321.91"
"4,016.00","4,031.99",707.38,"1,320.91"
"4,032.00","4,055.99",706.38,"1,319.91"
"4,056.00","4,063.99",705.38,"1,318.91"
"4,064.00","4,079.99",704.38,"1,317.91"
"4,080.00","4,103.99",703.38,"1,316.91"
"4,104.00","4,111.99",702.38,"1,315.91"
"4,112.00","4,127.99",701.38,"1,314.91"
"4,128.00","4,151.99",700.38,"1,313.91"
"4,152.00","4,159.99",699.38,"1,312.91"
"4,160.00","4,175.99",698.38,"1,311.91"
"4,176.00","4,199.99",697.38,"1,310.91"
"4,200.00","4,207.99",696.38,"1,309.91"
"4,208.00","4,223.99",695.38,"1,308.91"
"4,224.00","4,247.99",694.38,"1,307.91"
"4,248.00","4,255.99",693.38,"1,306.91"
"4,256.00","4,271.99",692.38,"1,305.91"
"4,272.00","4,295.99",691.38,"1,304.91"
"4,296.00","4,303.99",690.38,"1,303.91"
"4,304.00","4,319.99",689.38,"1,302.91"
"4,320.00","4,343.99",688.38,"1,301.91"
"4,344.00","4,351.99",687.38,"1,300.91"
"4,352.00","4,367.99",686.38,"1,299.91"
"4,368.00","4,391.99",685.38,"1,298.91"
"4,392.00","4,399.99",684.38,"1,297.91"
