Amount Effective from January to March 2020/Montant en vigueur en janvier à mars 2020,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Monthly GIS with Maximum OAS Pension for each recipient ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) · ($),SRG mensuel pour montant maximal de la pension de la SV pour chaque b‚n‚ficiaire ($),Total mensuel de la pension de la SV et du SRG ($)
0,47.99,551.63,"1,165.16"
48,95.99,550.63,"1,164.16"
96,143.99,549.63,"1,163.16"
144,191.99,548.63,"1,162.16"
192,239.99,547.63,"1,161.16"
240,287.99,546.63,"1,160.16"
288,335.99,545.63,"1,159.16"
336,383.99,544.63,"1,158.16"
384,431.99,543.63,"1,157.16"
432,479.99,542.63,"1,156.16"
480,527.99,541.63,"1,155.16"
528,575.99,540.63,"1,154.16"
576,623.99,539.63,"1,153.16"
624,671.99,538.63,"1,152.16"
672,719.99,537.63,"1,151.16"
720,767.99,536.63,"1,150.16"
768,815.99,535.63,"1,149.16"
816,863.99,534.63,"1,148.16"
864,911.99,533.63,"1,147.16"
912,959.99,532.63,"1,146.16"
960,"1,007.99",531.63,"1,145.16"
"1,008.00","1,055.99",530.63,"1,144.16"
"1,056.00","1,103.99",529.63,"1,143.16"
"1,104.00","1,151.99",528.63,"1,142.16"
"1,152.00","1,199.99",527.63,"1,141.16"
"1,200.00","1,247.99",526.63,"1,140.16"
"1,248.00","1,295.99",525.63,"1,139.16"
"1,296.00","1,343.99",524.63,"1,138.16"
"1,344.00","1,391.99",523.63,"1,137.16"
"1,392.00","1,439.99",522.63,"1,136.16"
"1,440.00","1,487.99",521.63,"1,135.16"
"1,488.00","1,535.99",520.63,"1,134.16"
"1,536.00","1,583.99",519.63,"1,133.16"
"1,584.00","1,631.99",518.63,"1,132.16"
"1,632.00","1,679.99",517.63,"1,131.16"
"1,680.00","1,727.99",516.63,"1,130.16"
"1,728.00","1,775.99",515.63,"1,129.16"
"1,776.00","1,823.99",514.63,"1,128.16"
"1,824.00","1,871.99",513.63,"1,127.16"
"1,872.00","1,919.99",512.63,"1,126.16"
"1,920.00","1,967.99",511.63,"1,125.16"
"1,968.00","2,015.99",510.63,"1,124.16"
"2,016.00","2,063.99",509.63,"1,123.16"
"2,064.00","2,111.99",508.63,"1,122.16"
"2,112.00","2,159.99",507.63,"1,121.16"
"2,160.00","2,207.99",506.63,"1,120.16"
"2,208.00","2,255.99",505.63,"1,119.16"
"2,256.00","2,303.99",504.63,"1,118.16"
"2,304.00","2,351.99",503.63,"1,117.16"
"2,352.00","2,399.99",502.63,"1,116.16"
"2,400.00","2,447.99",501.63,"1,115.16"
"2,448.00","2,495.99",500.63,"1,114.16"
"2,496.00","2,543.99",499.63,"1,113.16"
"2,544.00","2,591.99",498.63,"1,112.16"
"2,592.00","2,639.99",497.63,"1,111.16"
"2,640.00","2,687.99",496.63,"1,110.16"
"2,688.00","2,735.99",495.63,"1,109.16"
"2,736.00","2,783.99",494.63,"1,108.16"
"2,784.00","2,831.99",493.63,"1,107.16"
"2,832.00","2,879.99",492.63,"1,106.16"
"2,880.00","2,927.99",491.63,"1,105.16"
"2,928.00","2,975.99",490.63,"1,104.16"
"2,976.00","3,023.99",489.63,"1,103.16"
"3,024.00","3,071.99",488.63,"1,102.16"
"3,072.00","3,119.99",487.63,"1,101.16"
"3,120.00","3,167.99",486.63,"1,100.16"
"3,168.00","3,215.99",485.63,"1,099.16"
"3,216.00","3,263.99",484.63,"1,098.16"
"3,264.00","3,311.99",483.63,"1,097.16"
"3,312.00","3,359.99",482.63,"1,096.16"
"3,360.00","3,407.99",481.63,"1,095.16"
"3,408.00","3,455.99",480.63,"1,094.16"
"3,456.00","3,503.99",479.63,"1,093.16"
"3,504.00","3,551.99",478.63,"1,092.16"
"3,552.00","3,599.99",477.63,"1,091.16"
"3,600.00","3,647.99",476.63,"1,090.16"
"3,648.00","3,695.99",475.63,"1,089.16"
"3,696.00","3,743.99",474.63,"1,088.16"
"3,744.00","3,791.99",473.63,"1,087.16"
"3,792.00","3,839.99",472.63,"1,086.16"
"3,840.00","3,887.99",471.63,"1,085.16"
"3,888.00","3,935.99",470.63,"1,084.16"
"3,936.00","3,983.99",469.63,"1,083.16"
"3,984.00","4,031.99",468.63,"1,082.16"
"4,032.00","4,079.99",467.63,"1,081.16"
"4,080.00","4,095.99",466.63,"1,080.16"
"4,096.00","4,127.99",465.63,"1,079.16"
"4,128.00","4,175.99",464.63,"1,078.16"
"4,176.00","4,191.99",463.63,"1,077.16"
"4,192.00","4,223.99",462.63,"1,076.16"
"4,224.00","4,271.99",461.63,"1,075.16"
"4,272.00","4,287.99",460.63,"1,074.16"
"4,288.00","4,319.99",459.63,"1,073.16"
"4,320.00","4,367.99",458.63,"1,072.16"
"4,368.00","4,383.99",457.63,"1,071.16"
"4,384.00","4,415.99",456.63,"1,070.16"
"4,416.00","4,463.99",455.63,"1,069.16"
"4,464.00","4,479.99",454.63,"1,068.16"
"4,480.00","4,511.99",453.63,"1,067.16"
"4,512.00","4,559.99",452.63,"1,066.16"
"4,560.00","4,575.99",451.63,"1,065.16"
"4,576.00","4,607.99",450.63,"1,064.16"
"4,608.00","4,655.99",449.63,"1,063.16"
"4,656.00","4,671.99",448.63,"1,062.16"
"4,672.00","4,703.99",447.63,"1,061.16"
"4,704.00","4,751.99",446.63,"1,060.16"
"4,752.00","4,767.99",445.63,"1,059.16"
"4,768.00","4,799.99",444.63,"1,058.16"
"4,800.00","4,847.99",443.63,"1,057.16"
"4,848.00","4,863.99",442.63,"1,056.16"
"4,864.00","4,895.99",441.63,"1,055.16"
"4,896.00","4,943.99",440.63,"1,054.16"
"4,944.00","4,959.99",439.63,"1,053.16"
"4,960.00","4,991.99",438.63,"1,052.16"
"4,992.00","5,039.99",437.63,"1,051.16"
"5,040.00","5,055.99",436.63,"1,050.16"
"5,056.00","5,087.99",435.63,"1,049.16"
"5,088.00","5,135.99",434.63,"1,048.16"
"5,136.00","5,151.99",433.63,"1,047.16"
"5,152.00","5,183.99",432.63,"1,046.16"
"5,184.00","5,231.99",431.63,"1,045.16"
"5,232.00","5,247.99",430.63,"1,044.16"
"5,248.00","5,279.99",429.63,"1,043.16"
"5,280.00","5,327.99",428.63,"1,042.16"
"5,328.00","5,343.99",427.63,"1,041.16"
"5,344.00","5,375.99",426.63,"1,040.16"
"5,376.00","5,423.99",425.63,"1,039.16"
"5,424.00","5,439.99",424.63,"1,038.16"
"5,440.00","5,471.99",423.63,"1,037.16"
"5,472.00","5,519.99",422.63,"1,036.16"
"5,520.00","5,535.99",421.63,"1,035.16"
"5,536.00","5,567.99",420.63,"1,034.16"
"5,568.00","5,615.99",419.63,"1,033.16"
"5,616.00","5,631.99",418.63,"1,032.16"
"5,632.00","5,663.99",417.63,"1,031.16"
"5,664.00","5,711.99",416.63,"1,030.16"
"5,712.00","5,727.99",415.63,"1,029.16"
"5,728.00","5,759.99",414.63,"1,028.16"
"5,760.00","5,807.99",413.63,"1,027.16"
"5,808.00","5,823.99",412.63,"1,026.16"
"5,824.00","5,855.99",411.63,"1,025.16"
"5,856.00","5,903.99",410.63,"1,024.16"
"5,904.00","5,919.99",409.63,1023.16
"5,920.00","5,951.99",408.63,1022.16
"5,952.00","5,999.99",407.63,1021.16
"6,000.00","6,015.99",406.63,1020.16
"6,016.00","6,047.99",405.63,1019.16
"6,048.00","6,095.99",404.63,1018.16
"6,096.00","6,111.99",403.63,1017.16
"6,112.00","6,143.99",402.63,1016.16
"6,144.00","6,191.99",401.63,1015.16
"6,192.00","6,207.99",400.63,1014.16
"6,208.00","6,239.99",399.63,1013.16
"6,240.00","6,287.99",398.63,1012.16
"6,288.00","6,303.99",397.63,1011.16
"6,304.00","6,335.99",396.63,1010.16
"6,336.00","6,383.99",395.63,1009.16
"6,384.00","6,399.99",394.63,1008.16
"6,400.00","6,431.99",393.63,1007.16
"6,432.00","6,479.99",392.63,1006.16
"6,480.00","6,495.99",391.63,1005.16
"6,496.00","6,527.99",390.63,1004.16
"6,528.00","6,575.99",389.63,1003.16
"6,576.00","6,591.99",388.63,1002.16
"6,592.00","6,623.99",387.63,1001.16
"6,624.00","6,671.99",386.63,1000.16
"6,672.00","6,687.99",385.63,999.16
"6,688.00","6,719.99",384.63,998.16
"6,720.00","6,767.99",383.63,997.16
"6,768.00","6,783.99",382.63,996.16
"6,784.00","6,815.99",381.63,995.16
"6,816.00","6,863.99",380.63,994.16
"6,864.00","6,879.99",379.63,993.16
"6,880.00","6,911.99",378.63,992.16
"6,912.00","6,959.99",377.63,991.16
"6,960.00","6,975.99",376.63,990.16
"6,976.00","7,007.99",375.63,989.16
"7,008.00","7,055.99",374.63,988.16
"7,056.00","7,071.99",373.63,987.16
"7,072.00","7,103.99",372.63,986.16
"7,104.00","7,151.99",371.63,985.16
"7,152.00","7,167.99",370.63,984.16
"7,168.00","7,199.99",369.63,983.16
"7,200.00","7,247.99",368.63,982.16
"7,248.00","7,263.99",367.63,981.16
"7,264.00","7,295.99",366.63,980.16
"7,296.00","7,343.99",365.63,979.16
"7,344.00","7,359.99",364.63,978.16
"7,360.00","7,391.99",363.63,977.16
"7,392.00","7,439.99",362.63,976.16
"7,440.00","7,455.99",361.63,975.16
"7,456.00","7,487.99",360.63,974.16
"7,488.00","7,535.99",359.63,973.16
"7,536.00","7,551.99",358.63,972.16
"7,552.00","7,583.99",357.63,971.16
"7,584.00","7,631.99",356.63,970.16
"7,632.00","7,647.99",355.63,969.16
"7,648.00","7,679.99",354.63,968.16
"7,680.00","7,727.99",353.63,967.16
"7,728.00","7,743.99",352.63,966.16
"7,744.00","7,775.99",351.63,965.16
"7,776.00","7,823.99",350.63,964.16
"7,824.00","7,839.99",349.63,963.16
"7,840.00","7,871.99",348.63,962.16
"7,872.00","7,919.99",347.63,961.16
"7,920.00","7,935.99",346.63,960.16
"7,936.00","7,967.99",346.41,959.94
"7,968.00","8,015.99",345.41,958.94
"8,016.00","8,063.99",344.41,957.94
"8,064.00","8,111.99",343.41,956.94
"8,112.00","8,159.99",342.41,955.94
"8,160.00","8,207.99",341.41,954.94
