Amount Effective from January to March 2020/Montant en vigueur en janvier à mars 2020,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
0,"4,095.99",916.38,"1,529.91"
"4,096.00","4,191.99",915.38,"1,528.91"
"4,192.00","4,287.99",914.38,"1,527.91"
"4,288.00","4,383.99",913.38,"1,526.91"
"4,384.00","4,479.99",912.38,"1,525.91"
"4,480.00","4,575.99",911.38,"1,524.91"
"4,576.00","4,671.99",910.38,"1,523.91"
"4,672.00","4,767.99",909.38,"1,522.91"
"4,768.00","4,863.99",908.38,"1,521.91"
"4,864.00","4,959.99",907.38,"1,520.91"
"4,960.00","5,055.99",906.38,"1,519.91"
"5,056.00","5,151.99",905.38,"1,518.91"
"5,152.00","5,247.99",904.38,"1,517.91"
"5,248.00","5,343.99",903.38,"1,516.91"
"5,344.00","5,439.99",902.38,"1,515.91"
"5,440.00","5,535.99",901.38,"1,514.91"
"5,536.00","5,631.99",900.38,"1,513.91"
"5,632.00","5,727.99",899.38,"1,512.91"
"5,728.00","5,823.99",898.38,"1,511.91"
"5,824.00","5,919.99",897.38,"1,510.91"
"5,920.00","6,015.99",896.38,"1,509.91"
"6,016.00","6,111.99",895.38,"1,508.91"
"6,112.00","6,207.99",894.38,"1,507.91"
"6,208.00","6,303.99",893.38,"1,506.91"
"6,304.00","6,399.99",892.38,"1,505.91"
"6,400.00","6,495.99",891.38,"1,504.91"
"6,496.00","6,591.99",890.38,"1,503.91"
"6,592.00","6,687.99",889.38,"1,502.91"
"6,688.00","6,783.99",888.38,"1,501.91"
"6,784.00","6,879.99",887.38,"1,500.91"
"6,880.00","6,975.99",886.38,"1,499.91"
"6,976.00","7,071.99",885.38,"1,498.91"
"7,072.00","7,167.99",884.38,"1,497.91"
"7,168.00","7,263.99",883.38,"1,496.91"
