Amount Effective from October to December 2021/Montant en vigueur en octobre à décembre 2021,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
0,"4,095.99",948.82,"1,584.08"
"4,096.00","4,191.99",947.82,"1,583.08"
"4,192.00","4,287.99",946.82,"1,582.08"
"4,288.00","4,383.99",945.82,"1,581.08"
"4,384.00","4,479.99",944.82,"1,580.08"
"4,480.00","4,575.99",943.82,"1,579.08"
"4,576.00","4,671.99",942.82,"1,578.08"
"4,672.00","4,767.99",941.82,"1,577.08"
"4,768.00","4,863.99",940.82,"1,576.08"
"4,864.00","4,959.99",939.82,"1,575.08"
"4,960.00","5,055.99",938.82,"1,574.08"
"5,056.00","5,151.99",937.82,"1,573.08"
"5,152.00","5,247.99",936.82,"1,572.08"
"5,248.00","5,343.99",935.82,"1,571.08"
"5,344.00","5,439.99",934.82,"1,570.08"
"5,440.00","5,535.99",933.82,"1,569.08"
"5,536.00","5,631.99",932.82,"1,568.08"
"5,632.00","5,727.99",931.82,"1,567.08"
"5,728.00","5,823.99",930.82,"1,566.08"
"5,824.00","5,919.99",929.82,"1,565.08"
"5,920.00","6,015.99",928.82,"1,564.08"
"6,016.00","6,111.99",927.82,"1,563.08"
"6,112.00","6,207.99",926.82,"1,562.08"
"6,208.00","6,303.99",925.82,"1,561.08"
"6,304.00","6,399.99",924.82,"1,560.08"
"6,400.00","6,495.99",923.82,"1,559.08"
"6,496.00","6,591.99",922.82,"1,558.08"
"6,592.00","6,687.99",921.82,"1,557.08"
"6,688.00","6,783.99",920.82,"1,556.08"
"6,784.00","6,879.99",919.82,"1,555.08"
"6,880.00","6,975.99",918.82,"1,554.08"
"6,976.00","7,071.99",917.82,"1,553.08"
"7,072.00","7,167.99",916.82,"1,552.08"
"7,168.00","7,263.99",915.82,"1,551.08"
"7,264.00","7,359.99",914.82,"1,550.08"
"7,360.00","7,455.99",913.82,"1,549.08"
"7,456.00","7,551.99",912.82,"1,548.08"
"7,552.00","7,647.99",911.82,"1,547.08"
"7,648.00","7,679.99",910.82,"1,546.08"
"7,680.00","7,727.99",909.82,"1,545.08"
"7,728.00","7,743.99",908.82,"1,544.08"
"7,744.00","7,775.99",907.82,"1,543.08"
"7,776.00","7,823.99",906.82,"1,542.08"
"7,824.00","7,839.99",905.82,"1,541.08"
"7,840.00","7,871.99",904.82,"1,540.08"
"7,872.00","7,919.99",903.82,"1,539.08"
"7,920.00","7,935.99",902.82,"1,538.08"
"7,936.00","7,967.99",901.82,"1,537.08"
"7,968.00","8,015.99",900.82,"1,536.08"
"8,016.00","8,031.99",899.82,"1,535.08"
"8,032.00","8,063.99",898.82,"1,534.08"
"8,064.00","8,111.99",897.82,"1,533.08"
"8,112.00","8,127.99",896.82,"1,532.08"
"8,128.00","8,159.99",895.82,"1,531.08"
"8,160.00","8,207.99",894.82,"1,530.08"
"8,208.00","8,223.99",893.82,"1,529.08"
"8,224.00","8,255.99",892.82,"1,528.08"
"8,256.00","8,303.99",891.82,"1,527.08"
"8,304.00","8,319.99",890.82,"1,526.08"
"8,320.00","8,351.99",889.82,"1,525.08"
"8,352.00","8,399.99",888.82,"1,524.08"
